charter,Lender,assets,cert
18233,Community National Bank of Okarche,116936,25161
18242,"C3bank, National Association",423443,25249
18278,First National Bankers Bank,875600,25247
18283,"Intercredit Bank, National Association",367518,25258
18358,"Beacon Business Bank, National Association",142770,25644
18394,Community National Bank,496958,25665
18410,"Citicorp Trust Delaware, National Association",23516,25677
18430,First National Bank and Trust Company,238625,25738
18431,"Eastbank, National Association",171267,25749
18558,"Golden Bank, National Association",1071625,26223
18594,Texas National Bank of Jacksonville,571361,26181
18607,"State Street Bank and Trust Company of California, National Association",16369,26474
18608,Deutsche Bank National Trust Company,290483,26732
18609,First National Bank,229599,26219
18613,American National Bank,322638,26398
18763,Home State Bank / National Association,627768,12815
18783,The First Citizens National Bank of Upper Sandusky,288577,14355
20010,Pacific National Bank,661387,26299
20026,First National Bank of Dublin,95318,26228
20078,First National Bank,581455,26543
20157,Terrabank National Association,479123,26442
20184,"Citizens National Bank, National Association",1102378,26381
20214,"Florida Capital Bank, National Association",522252,26323
20291,"Credit One Bank, National Association",687640,25620
20415,Bank of Desoto National Association,192655,26542
20448,Center National Bank,187253,10976
20493,Pike National Bank,258009,26379
20547,Delta National Bank and Trust Company,387506,26633
20622,"KEB Hana Bank USA, National Association",237227,26790
20838,The First National Bank in Marlow,58429,26260
20862,"Golden Pacific Bank, National Association",141969,26881
20948,Safra National Bank of New York,9244958,26876
20976,First National Bank of Pasco,191567,26829
21008,Unity National Bank of Houston,107905,26351
21060,"Pioneer Trust Bank, National Association",540949,19827
21099,Wells Fargo National Bank West,25855421,27389
21158,"Native American Bank, National Association",139981,27026
21165,The First National Bank of Izard County,170912,11252
21389,Community National Bank & Trust,1358386,27046
21527,"Comerica Bank & Trust, National Association",60385,1596
21530,Saratoga National Bank and Trust Company,687407,27290
21541,"MUFG Union Bank, National Association",135037826,22826
21699,"Community West Bank, National Association",925040,27572
21793,First National Bank,324977,25894
21882,"First Financial Trust, National Association",10299,27479
22121,"Blackrock Institutional Trust Company, National Association",4228482,32961
22210,Ledyard National Bank,566630,33418
22241,The University National Bank of Lawrence,79845,32606
22281,"The Trust Company of Toledo, National Association",4762,33239
22286,"American Bank, National Association",361479,5800
22311,"South State Bank, National Association",18590797,33555
22327,First National Bank of Coffee County,245213,33506
22351,First Farmers & Merchants National Bank,110275,33131
22545,"Patriot Bank, National Association",999750,33928
22553,American National Bank - Fox Cities,314527,33812
22594,Credit First National Association,29756,33855
22611,"TD Bank USA, National Association",27041547,33947
22652,The National Bank of Indianapolis,2256064,33860
22770,Neighborhood National Bank,72302,34548
22807,Texas National Bank,153654,34014
22859,"Wilmington Trust, National Association",5481716,34069
22874,"UMB Bank & Trust, National Association",3037,34065
22883,Thomasville National Bank,1002299,34068
22905,Quantum National Bank,513214,34110
22926,"The Private Trust Company, National Association",22004,34057
22949,"The First, A National Banking Association",4053820,34217
22968,"City First Bank of D.C., National Association",360345,34352
23006,Asian Pacific National Bank,55094,33013
23038,Landmark National Bank,985910,5826
23049,Great Plains National Bank,830077,34207
23081,Southwestern National Bank,616339,34319
23097,DSRM National Bank,3943,34331
23148,"Computershare Trust Company, National Association",30059,34629
23158,Chester National Bank,60522,30220
23182,First National Bank,73577,34455
23183,"Keystone Bank, National Association",222777,34456
23201,"Wells Fargo Delaware Trust Company, National Association",233739,34465
23202,The Malvern National Bank,582042,14644
23216,"Barrington Bank & Trust Company, National Association",2803265,34395
23226,Security National Bank of South Dakota,222997,34394
23248,"Texas Capital Bank, National Association",35847732,34383
23250,"Associated Trust Company, National Association",62624,27102
23253,TCF National Bank,48562805,28330
23290,"Bremer Bank, National Association",13210697,12923
23323,Cedar Hill National Bank,13138,34478
23329,Edison National Bank,356820,34489
23363,"TCM Bank, National Association",302886,34535
23393,"First Robinson Savings Bank, National Association",344197,28105
23412,"U.S. Bank Trust Company, National Association",19378,34588
23416,"RBC Bank (Georgia), National Association",4356173,26342
23421,"New Covenant Trust Company, National Association",6866,34732
23457,Stearns Bank Holdingford National Association,98766,10160
23458,Stearns Bank Upsala National Association,76181,9336
23516,Liberty National Bank,633327,11522
23521,American First National Bank,1944494,34656
23523,"Natbank, National Association",181508,33959
23547,North Georgia National Bank,132632,34662
23574,"Crystal Lake Bank & Trust Company, National Association",1231350,34681
23604,U.S. Bank Trust National Association SD,106626,34813
23616,Virginia National Bank,717380,34755
23645,Nebraskaland National Bank,751228,34811
23664,"Connecticut Community Bank, National Association",465914,34876
23681,"FirstCapital Bank of Texas, National Association",1729186,35028
23690,"The Chicago Trust Company, National Association",112507,35063
23692,First National Bank of Hereford,170460,34918
23695,"Associated Bank, National Association",33859027,5296
23702,"Old Point Trust & Financial Services, National Association",6774,35248
23730,"Lone Star Capital Bank, National Association",251566,35015
23771,Cortrust Bank National Association,1206545,6063
23773,Heartland National Bank,431969,35052
23797,"Midwest Bank, National Association",803374,13255
23834,"Citizens Bank, National Association",104998,12309
23850,"Capital Bank, National Association",1474696,35278
23852,"Desjardins Bank, National Association",224990,33565
23864,"The Glenmede Trust Company, National Association",128540,35317
23869,"Bessemer Trust Company of California, National Association",11963,35413
23903,"Blue Ridge Bank, National Association",1025492,35274
23918,"Wheaton College Trust Company, National Association",3637,57150
23920,"UMB Bank, National Association",26151097,8273
23925,California First National Bank,115375,35331
23926,Woodlands National Bank,223773,1417
23950,"Chino Commercial Bank, National Association",232954,35366
23981,United National Bank,214407,35427
24010,Security National Trust Co.,5639,57081
24047,"Unified Trust Company, National Association",15100,35534
24049,"Canyon Community Bank, National Association",92951,35547
24077,"Bank of America California, National Association",18802000,25178
24080,Community First National Bank,303491,35585
24090,U.S. Bank Trust National Association,665902,57047
24092,"The Tipton Latham Bank, National Association",140484,1941
24096,"TD Bank, National Association",355767822,18409
24100,"Bank of Southern California, National Association",852052,57044
24106,CIBC National Trust Company,267770,91325
24107,Nicolet National Bank,3722804,57038
24114,Cornerstone National Bank & Trust Company,684455,57061
24120,"First Community Trust, National Association",12044,57179
24121,"Vanguard National Trust Company, National Association",97018,57304
24131,"Leader Bank, National Association",1911768,57134
24150,"Schaumburg Bank & Trust Company, National Association",1276844,57103
24153,"Bank of Brenham, National Association",500674,57102
24169,"First Century Bank, National Association",409245,57123
24173,"The Goldman Sachs Trust Company, National Association",83035,57337
24182,AMG National Trust Bank,574060,57295
24185,West Texas National Bank,1380873,22957
24219,American National Bank of Minnesota,303568,26499
24224,BNC National Bank,1041885,57197
24249,Douglas National Bank,188904,57230
24257,Freedom National Bank,126285,57254
24264,"Signature Bank, National Association",983266,57269
24290,"Country Club Trust Company, National Association",13606,57402
24310,"Securian Trust Company, National Association",15143,57405
24338,"Legacy Trust Company, National Association",32268,57380
24343,Worthington National Bank,310045,57414
24346,United Bank & Trust National Association,102035,57391
24349,"Forcht Bank, National Association",1250131,57415
24350,"Synovus Trust Company, National Association",100506,33962
24356,"F&M Community Bank, National Association",139269,10967
24359,Commerce National Bank & Trust,121630,57429
24369,"American Bank and Trust Company, National Association",373478,34955
24372,"Northwestern Bank, National Association",149379,9746
24373,Falcon National Bank,575174,57603
24378,Liberty National Bank,447735,57505
24397,"Trinity Bank, National Association",291665,57543
24421,"First Financial Trust & Asset Management Company, National Association",34274,57757
24425,"Atlantic Capital Bank, National Association",2719322,35525
24429,"Brown Brothers Harriman Trust Company, National Association",13668,25824
24430,"South Central Bank, National Association",,19536
24440,"Industrial and Commercial Bank of China (USA), National Association",2853371,24387
24452,"Deutsche Bank Trust Company, National Association",151646,34056
24456,"American Commerce Bank, National Association",372671,57686
24458,First National Bank of Decatur County,180380,57694
24465,TexStar National Bank,307837,57704
24466,"Beverly Bank & Trust Company, National Association",1679218,57701
24467,"T Bank, National Association",411584,57703
24469,"Webster Bank, National Association",31658041,18221
24470,"Amerant Trust, National Association",9386,57852
24475,First National Trust Company,35448,57793
24493,EH National Bank,247152,57734
24522,"HSBC Bank USA, National Association",201885682,57890
24526,"The Bank of New York Mellon Trust Company, National Association",1432387,23472
24536,BMO Harris Central National Association,7970,58216
24547,"Bessemer Trust Company of Delaware, National Association",21325,58011
24571,"Citizens Bank, National Association",176632580,57957
24573,Legacy National Bank,575627,57953
24577,"California International Bank, A National Banking Association",51569,57974
24601,"HSBC Trust Company (Delaware), National Association",54778,58188
24604,"Dakota Community Bank & Trust, National Association",842062,15728
24617,"CenTrust Bank, National Association",142173,58158
24622,Department Stores National Bank,348042,58180
24626,Northern California National Bank,285905,58224
24627,"Stifel Trust Company, National Association",826109,33785
24637,First National Bank of Michigan,634514,58259
24640,"Texas Citizens Bank, National Association",516766,58319
24646,"Old Plank Trail Community Bank, National Association",1685599,58314
24671,"Goldwater Bank, National Association",241968,58405
24679,Embassy National Bank,120821,58413
24683,West Valley National Bank,90124,58426
24685,"Waterford Bank, National Association",1002267,58433
24693,"Texas Advantage Community Bank, National Association",119629,58450
24716,"American Plus Bank, National Association",558110,58469
24719,Finemark National Bank & Trust,2460325,58486
24730,Old Dominion National Bank,447667,58504
24737,Solera National Bank,300276,58534
24744,"Business Bank of Texas, National Association",88441,58545
24755,"Chain Bridge Bank, National Association",930350,58595
24758,"First American Bank, National Association",127319,58593
24771,"Raymond James Trust, National Association",39043,33879
24777,Empire National Bank,1000953,58632
24789,Touchmark National Bank,420218,58687
24798,"Black Hills Community Bank, National Association",306028,58723
24827,The Mint National Bank,246182,58764
24828,"Capital One Bank (USA), National Association",116771620,33954
24849,Oak View National Bank,262033,58827
24858,"New Horizon Bank, National Association",89716,58857
24859,"Cornerstone Bank, National Association",164936,58859
24861,Coastal Carolina National Bank,477398,58864
24891,"Fulton Bank, National Association",22780651,7551
24907,"Evercore Trust Company, National Association",23394,58927
24908,"Morgan Stanley Bank, N.A.",178664000,32992
24914,"Raymond James Bank, National Association",33656415,33893
24920,"Rockefeller Trust Company, National Association",15626,26622
24936,Canandaigua National Trust Company of Florida,4060,58999
24944,"Brown Brothers Harriman Trust Company of Delaware, National Association",9850,59025
24955,"Stifel Trust Company Delaware, National Association",15567,59043
24961,Neuberger Berman Trust Company National Association,21999,59046
24966,Neuberger Berman Trust Company of Delaware National Association,6532,59047
24981,"Morgan Stanley Private Bank, National Association",106390000,34221
25022,"Santander Bank, National Association",87569232,29950
25025,"First Federal Community Bank, National Association",455674,29787
25028,"BankUnited, National Association",33512179,58979
25051,Key National Trust Company of Delaware,4795,59069
25053,"Guaranty Bank & Trust, National Association",2391235,1208
25073,"Washington Federal Bank, National Association",17372259,28088
25075,Sterling National Bank,30259156,30337
25079,"CIT Bank, National Association",52993207,58978
25080,"Banc of California, National Association",7633825,35498
25088,Citizens Community Federal National Association,1504998,57265
25093,"National Cooperative Bank, N.A.",2785853,32612
25103,"People's United Bank, National Association ",60206875,27334
25106,"Home Bank, National Association",2243717,28094
25114,"Texan Bank, National Association",344520,58671
25125,"Esquire Bank, National Association",813644,58140
25137,"CFBank, National Association",942849,28263
25139,"Axiom Bank, National Association",689527,31390
25140,"BankFinancial, National Association",1448679,28808
25142,Winter Park National Bank,418816,59105
25143,"TIB The Independent BankersBank, National Association",2851074,23647
25144,First National Bank Baird,456843,3086
25145,National Advisors Trust Company,12726,57160
25149,"Lake Forest Bank & Trust Company, National Association",4696128,27589
25150,"OceanFirst Bank, National Association",10491688,28359
25151,American Express National Bank,130004248,27471
25152,"Grasshopper Bank, National Association",100250,59113
25153,"Malvern Bank, National Association",1234760,27861
25154,"Affiliated Bank, National Association",1009419,34885
25160,"United Midwest Savings Bank, National Association",292441,32441
25173,"ADP Trust Company, National Association",28517,59194
25185,"Investar Bank, National Association",2197542,58316
25188,"Fidelity Bank, National Association",2572856,30895
25190,"Fifth Third Bank, National Association",183723698,6672
25195,"MetaBank, National Association",5852136,30776
25196,"Wintrust Bank, National Association",7483044,33935
25197,"Libertyville Bank & Trust Company, National Association",1801658,34073
25199,"Northbrook Bank & Trust Company, National Association",3065427,57082
25200,"State Bank of the Lakes, National Association",1332177,5744
25201,"Town Bank, National Association",2630165,34717
25202,"Village Bank & Trust, National Association",1937286,34011
25203,"Wheaton Bank & Trust Company, National Association",2207684,33803
25210,"Viking Bank, National Association",214612,32082
25211,"St. Charles Bank & Trust Company, National Association",1586186,27052
25212,"Hinsdale Bank & Trust Company, National Association",3522482,33849
700007,Piedmont Federal Savings Bank,878124,27619
700041,First Federal Bank of Ohio,235660,27643
700057,Home Federal Bank,463168,27654
700073,"Sterling Federal Bank, F.S.B.",461938,27664
700108,North Shore Trust and Savings,236374,27683
700133,Fifth District Savings Bank,438064,27697
700143,Wake Forest FS & LA,104221,27704
700165,Mutual Savings and Loan Association,49850,27716
700179,Lyons Federal Bank,125510,27727
700244,Union FS & LA,155008,27767
700257,Gate City Bank,2488904,27774
700311,Fairfield FS & LA,266378,27806
700375,Citizens FS & LA,40619,27841
700450,Pioneer Bank,794140,27872
700470,Huntington Federal Savings Bank,542040,27884
700508,"Home Savings and Loan Association of Carroll County, F.A.",87434,27898
700529,"Central Savings, f.s.b.",110727,27910
700544,Foxboro Federal Savings,167119,27918
700566,Riverwood Bank,454232,27932
700641,Greenville Federal,202222,27965
700646,Community Savings ,50961,27969
700670,Capitol Federal Savings Bank,9385483,27981
700709,"Guardian Savings Bank, FSB",1018809,27998
700824,Citizens FS & LA,144594,28060
700827,The Covington S & LA,69400,28063
700904,Collinsville B & LA,123428,28103
701142,San Luis Valley Federal Bank,287500,28208
701149,"Winter Hill Bank, FSB",370388,28213
701158,Warsaw Federal Savings & Loan Association,56394,28217
701227,Home Savings Bank,77747,28246
701283,Ozarks FS & LA,255215,28277
701305,"Auburn Savings Bank, FSB",84620,28288
701330,Mutual Federal Bank,81481,28302
701409,Cincinnati Federal,227579,28346
701412,Home FS & LA of Niles,104043,28349
701452,"Middlesex Federal Savings, F.A.",448584,28368
701454,"Rockland Savings Bank, FSB",83005,28369
701485,Edward Jones Trust Company,100320,28390
701567,Central FS & LA,190234,28425
701611,First FSB of Champaign-Urbana,178828,28445
701673,Colonial Federal Savings Bank,319221,28481
701735,Argentine Federal Savings,56334,28507
701899,"Maple City Savings Bank, FSB",88903,28585
702007,Milton Savings Bank,65334,28637
702049,Fairview S&LA,46297,28652
702130,"North Shore Bank, FSB",2214151,28679
702148,Chesapeake Bank of Maryland,228425,28684
702190,First FS & LA of Greene Co,959571,28706
702201,First Federal Savings of Middletown,151963,28712
702228,Kentland FS & LA,4054,28722
702253,"Golden Belt Bank, FSA",239913,28735
702324,First Federal Savings Bank of Angola,128505,28769
702335,Loomis FS & LA,60732,28774
702349,Arundel Federal Savings Bank,425798,28780
702397,Sunnyside FS&LA of Irvington,88900,28805
702454,Columbia Bank,8307301,28834
702479,First Federal SB of Twin Falls,734507,28845
702502,First Piedmont FS & LA of Gaffney,429781,28859
702518,Midcountry Bank,770061,28865
702528,Wallkill Valley FS & LA,334269,28870
702578,Security Federal Savings Bank,292607,28894
702610,Evergreen Federal Bank,491156,28914
702631,First Federal Savings Bank,378545,28924
702657,Carthage FS & LA,251009,28942
702674,Amory FS & LA,80312,28949
702722,Ladysmith FS & LA,57071,28983
702753,First FS & LA,22299,29005
702808,"Hancock County Savings Bank, F.S.B.",378379,29035
702818,Home Federal Savings Bank,783537,29042
702825,First Federal Bank of Kansas City,773952,29047
702828,Lake City Federal Bank,72229,29049
702842,Tucumcari FS & LA,35320,29059
702849,Elberton FS & LA,24450,29065
702889,Bank 34,407845,29087
702892,Newport Federal Bank,217899,29089
702893,First FS & LA,219978,29090
702969,First FS & LA of Van Wert,115629,29135
702983,American Federal Bank,627097,29140
703019,First FS&LA of Valdosta,194898,29164
703043,New Carlisle Federal Savings Bank,136859,29173
703069,Fox Valley Savings Bank,361000,29188
703136,County Savings Bank,84787,29231
703150,Woodruff FS & LA,105541,29238
703155,Henderson Federal Savings Bank,107198,29241
703193,Eureka Homestead,107113,29268
703234,"Cumberland Federal Bank, FSB",168692,29293
703235,Prevail Bank,785816,29294
703267,WinFirst Bank,145455,29313
703293,TC Federal Bank,314215,29331
703313,First FS & LA,164623,29345
703330,Family Bank,112685,29357
703360,Sidney Federal Savings and Loan Association,19547,29379
703367,Peru Federal Savings Bank,156998,29384
703395,GN Bank,102206,29399
703435,"Worthington Federal Savings Bank, FSB",79925,29426
703468,North Side FS & LA of Chicago,40174,29449
703519,Home FS&LA of Grand Island,296164,29476
703534,Kingstree FS & LA,36135,29486
703536,First Federal Savings and Loan Association of Lakewood,2049118,29488
703542,First FS & LA of Ravenswood,24087,29490
703551,Van Wert Federal Savings Bank,116835,29495
703552,Seneca Savings,211825,29496
703560,Interstate FS & LA of McGregor,8452,29501
703575,Newton Federal Bank,645988,29510
703583,Pioneer FS & LA,90542,29517
703587,Fidelity FS & LA of Delaware,106441,29521
703619,First Federal Bank & Trust,342544,29537
703676,"United Fidelity Bank, F.S.B.",1035311,29566
703691,Heritage Bank of St. Tammany,135315,29577
703692,Monroe FS & LA,107106,29578
703697,Pee Dee Federal Savings Bank,34281,29582
703758,Rosedale FS & LA,979576,29613
703764,"First Mutual Bank, FSB",89843,29617
703773,First FS & LA of McMinnville,474013,29624
703776,Second FS & LA of Philadelphia,17856,29627
703781,Windsor FS & LA,557048,29632
703786,First FS & LA of Bath,137754,29636
703790,Big Horn Federal Savings Bank,269998,29637
703816,First FS & LA,43948,29646
703844,Kennebec FS & LA of Waterville,94512,29661
703866,Cfsbank,476396,29672
703870,Iroquois Federal Savings and Loan Association,684181,29675
703874,Anthem Bank & Trust,160776,29679
703879,Home Federal Bank of Tennessee,2263890,29683
703881,Martinsville First Savings Bank,39461,29685
703896,Lincoln FSB of Nebraska,322322,29692
703912,Century Next Bank,493983,29700
703917,Peoples FS & LA,115513,29703
703920,First Federal Community Bank of Bucyrus,194459,29705
703927,"North American SB, FSB",2619188,29708
703995,Aroostook County FS & LA,139369,29743
703997,First Seacoast Bank,412609,29744
704013,Southern Hills Community Bank,160962,29749
704067,Vidalia Federal Savings Bank,199753,29772
704069,Carrollton Federal Bank,33449,29774
704114,St Landry Homestead FSB,225359,29804
704167,Milford Federal Bank,418260,29835
704171,First FS & LA of Lorain,444091,29838
704194,Eaton Federal Savings Bank,382190,29846
704214,"The Liberty SA, FSA",31286,29857
704241,Dearborn FSB,263121,29874
704255,Home Bank SB,334166,29881
704307,Elizabethton Federal Savings Bank,294974,29904
704315,Scottsburg B & LA,85041,29910
704347,Riverview Community Bank,1180610,29922
704369,Union S & LA,170166,29933
704381,First Federal Savings Bank of Kentucky,247637,29937
704475,Midland FS & LA,114704,29980
704516,Mutual Savings Bank,52345,29999
704544,Third FS&LA of Cleveland,14985693,30012
704656,First FS & LA of Greensburg,145961,30058
704769,Oconee Federal S&LA,503903,30111
704804,Gibraltar Bank,103509,30126
704817,"Mid-Southern Savings Bank, FSB",208250,30133
704846,Citizens Federal Savings Bank,181958,30150
704859,"Hatboro Federal Savings, Fa",525920,30155
704877,Cullman Savings Bank,311017,30167
705138,Maspeth FS & LA,1992781,30303
705141,"Broadway Federal Bank, F.S.B.",503594,30306
705153,First FSB of Lincolnton,394518,30315
705195,Beauregard FSB,64342,30339
705214,The Bank of Bennington,426491,30350
705224,First S & LA,56364,30358
705273,Carver Federal Savings Bank,581718,30394
705275,Tecumseh Federal Bank,50898,30395
705278,Geddes FS & LA,573667,30397
705313,First Federal Bank of Wisconsin,278000,30422
705323,Massena Savings and Loan,169695,30429
705329,Southfirst Bank,80698,30433
705339,First Federal Bank of Louisiana,936820,30441
705440,Jackson FS & LA,36720,30492
705506,Lake Shore Savings Bank,628600,30530
705537,Westmoreland FS & LA,172677,30551
705636,Tempo Bank,97174,30615
705740,First Shore FS & LA,318277,30680
705801,Universal Bank,388617,30722
705848,E*TRADE Bank,50294236,30746
705957,First FS & LA,323915,30812
706051,"Provident Savings Bank, FSB",1107531,30879
706149,Mid-Central Federal Savings Bank,120466,30943
706164,"El Dorado Savings Bank, F.S.B.",2218303,30953
706191,First FSB of Mascoutah,115742,30969
706230,Cenlar FSB,1157304,30996
706343,First Federal Bank,187117,31077
706351,Jarrettsville FS & LA,121253,31083
706359,"Pickens S & LA, FA",102536,31089
706361,Blue Grass Federal Savings and Loan Association,36146,31090
706432,"First Federal Bank, A FSB",145912,31127
706503,Citizens Savings Bank,317478,31184
706509,Ponce Bank,1147532,31189
706517,First FS & LA,83829,31197
706518,"Greeneville Federal Bank, FSB",149920,31198
706581,Highland FS & LA,62508,31232
706624,New Buffalo Savings Bank,112226,31257
706639,Homewood Federal Savings Bank,61012,31267
706707,First Federal Bank,2459254,31313
706809,"Colonial Savings, F.A.",1052372,31361
706896,First FS&LA of San Rafael,204828,31406
706902,First FS & LA,33182,31409
706979,"Brainerd S & LA, A Federal Assn",67923,31443
707101,First Federal Savings Bank,443640,31516
707228,Security Federal Savings Bank,35904,31592
707384,"Home Savings Bank, FSB",26255,31723
707450,Home FS & LA,40394,31774
707506,"Interamerican Bank, A FSB",200172,31823
707547,"Grand Bank For Savings, FSB",87495,31864
707635,Trustco Bank,5259943,31945
707674,First Western Federal Savings Bank,60934,31972
707703,Slovenian S&LA of Franklin-Conemaugh,150589,31994
707794,Rollstone Bank & Trust,714217,17797
707938,"Wilmington Savings Fund Society, Federal Savings Bank",12247429,17838
707975,USAA Federal Savings Bank,95337627,32188
708028,"Sterling Bank and Trust, FSB",3484013,32232
708039,"Liberty Savings Bank, FSB",710500,32242
708043,"Dollar Bank, Federal Savings Bank",9284085,32245
708059,Abacus Federal Savings Bank,346061,32257
708089,Malaga Bank F.S.B.,1250034,32282
708183,"Eastern Savings Bank, FSB",315879,32360
708186,"Presidential Bank, FSB",644318,32363
708190,"Severn Savings Bank, FSB",853686,32367
708286,Homeland Federal Savings Bank,356386,32459
708384,"American Savings Bank, FSB",7385745,32526
708412,"Flagstar Bank, FSB",26767684,32541
708433,Radius Bank,1436396,32551
708547,First Savings Bank,878649,32629
708672,"Prudential Bank & Trust, FSB",22997,32957
708857,"Gateway Bank, F.S.B.",141537,33103
708876,Colorado Federal Savings Bank,2075372,33111
711025,Priority Bank,89082,33818
712117,Frontier Bank,234099,33922
712423,"Midwest Heritage Bank, F.S.B.",291041,4432
712504,"Home Loan Investment Bank, F.S.B.",347091,27417
713138,"Citizens Bank & Trust, Inc.",104468,27153
713248,Commercial Banking Company,234797,16246
713480,Banksouth,758352,16418
713570,First Command Bank,812714,34415
713964,ETHIC,240177,27015
714191,Midfirst Bank,24197472,4063
714225,Principal Bank,4085184,34507
714640,"State Farm Bank, FSB",16251141,34617
714725,Home Federal Bank of Hollywood,58266,34652
714810,Northwoods Bank of Minnesota,119933,1415
714939,AIG Federal Savings Bank,36970,35267
714961,ClearPoint Federal Bank & Trust,112411,34748
714970,"Nationwide Trust Company, FSB",195041,34710
715044,Synchrony Bank,85811000,27314
715054,Thrivent Trust Company,70214,34799
715115,"TIAA, FSB",42372395,34775
715152,Ben Franklin Bank of Illinois,93017,28384
715205,"Farm Bureau Bank, FSB",785037,35157
715223,New Republic Savings Bank,65525,34860
715660,"First American Trust, FSB",4056610,26312
715674,Capital Bank and Trust Company,203712,35164
715682,CornerstoneBank,204771,35027
715685,"John Deere Financial, f.s.b.",2971871,35237
715731,"M.Y. Safra Bank, FSB",406711,35154
715834,The Murray Bank,317091,35161
715850,"Auto Club Trust, FSB",567159,35115
715930,The Massmutual Trust Company,85044,35394
716088,Country Trust Bank,28259,35602
716116,"Fidelity Personal Trust Company, FSB",100028,35206
716138,FDS Bank,140262,33831
716195,The Federal Savings Bank,759386,35518
716310,United Trust Bank,27062,35393
716425,Everence Trust Company,10355,57109
716456,Axos Bank,11543844,35546
716509,SEI Private Trust Company,193318,35388
716662,Northwestern Mutual Wealth Management,291960,57093
716693,D.A. Davidson Trust Company,10552,35510
716697,"Westfield Bank, FSB",1593287,57077
717428,Community Development Bank FSB,167498,10568
717528,Community Federal Savings Bank,186300,57129
717944,Members Trust Company,40051,57470
717954,"Pyramax Bank, FSB",448107,29120
717958,American Investors Bank and Mortgage,78834,57695
717968,Westfield Bank ,2188361,90300
717974,Quontic Bank,480774,57807
717997,Ottawa Savings Bank FSB,306801,27989
718000,E*TRADE Savings Bank,4536067,58119
718024,Generations Bank,349599,16040
718028,The Bank of Greene County,1581401,21591
718037,Think Mutual Bank,1723546,58536
718043,Walden Savings Bank,602740,15987
718063,Northfield Bank,5002703,28710
718109,Homestead Savings Bank,67524,28667
718151,International City Bank,381917,25648
718164,"Ameriprise Bank, FSB",6624050,58303
